Airline,Month,Passengers_In,Passengers_Out
American Airlines,Nov,6976.0,6145.0
American Airlines,Oct,7281.0,6096.0
American Airlines,Sep,6800.0,7060.0
Asiana Airlines,Apr,7089.0,7127.0
Asiana Airlines,Aug,7976.0,8750.0
Asiana Airlines,Dec,10962.0,13820.0
Asiana Airlines,Feb,10623.0,11663.0
Asiana Airlines,Jan,12432.0,14579.0
Asiana Airlines,Jul,8837.0,7238.0
Asiana Airlines,Jun,8204.0,8209.0
Asiana Airlines,Mar,11450.0,13101.0
Asiana Airlines,May,7121.0,7227.0
Asiana Airlines,Nov,11033.0,10029.0
Asiana Airlines,Oct,8687.0,8099.0
Asiana Airlines,Sep,7379.0,7439.0
Batik Air Indonesia,Apr,2796.0,2880.0
Batik Air Indonesia,Aug,4490.0,4161.0
Batik Air Indonesia,Dec,2327.0,4140.0
Batik Air Indonesia,Feb,1623.0,867.0
Batik Air Indonesia,Jan,6329.0,3515.0
Batik Air Indonesia,Jul,5041.0,4489.0
Batik Air Indonesia,Jun,3357.0,4140.0
Batik Air Indonesia,Mar,1617.0,1551.0
Batik Air Indonesia,May,2971.0,2755.0
Batik Air Indonesia,Nov,3163.0,2449.0
Batik Air Indonesia,Oct,4954.0,4032.0
Batik Air Indonesia,Sep,4209.0,4327.0
Beijing Capital Airlines,Apr,3172.0,3203.0
Beijing Capital Airlines,Aug,4986.0,4729.0
Beijing Capital Airlines,Dec,4306.0,5791.0
Beijing Capital Airlines,Feb,4734.0,4361.0
Beijing Capital Airlines,Jan,5028.0,4560.0
Beijing Capital Airlines,Jul,5153.0,4297.0
Beijing Capital Airlines,Jun,3211.0,3685.0
Beijing Capital Airlines,Mar,4103.0,3913.0
Beijing Capital Airlines,May,2899.0,2712.0
Beijing Capital Airlines,Nov,3734.0,4342.0
Beijing Capital Airlines,Oct,4882.0,3801.0
Beijing Capital Airlines,Sep,4325.0,4848.0
British Airways,Apr,5856.0,8331.0
British Airways,Aug,6072.0,6559.0
British Airways,Dec,7489.0,8603.0
British Airways,Feb,7622.0,7101.0
British Airways,Jan,8870.0,7576.0
British Airways,Jul,5890.0,6693.0
British Airways,Jun,5780.0,6754.0
British Airways,Mar,6121.0,7921.0
British Airways,May,5861.0,8058.0
British Airways,Nov,8248.0,7620.0
British Airways,Oct,8669.0,6190.0
British Airways,Sep,7153.0,6954.0
Cathay Pacific Airways,Apr,83936.0,87968.0
Cathay Pacific Airways,Aug,74781.0,82218.0
Cathay Pacific Airways,Dec,80575.0,100445.0
Cathay Pacific Airways,Feb,84913.0,71819.0
Cathay Pacific Airways,Jan,95907.0,75295.0
Cathay Pacific Airways,Jul,80868.0,72970.0
Cathay Pacific Airways,Jun,69626.0,83729.0
Cathay Pacific Airways,Mar,73126.0,75914.0
Cathay Pacific Airways,May,71332.0,78268.0
Cathay Pacific Airways,Nov,71012.0,74429.0
Cathay Pacific Airways,Oct,90928.0,74833.0
Cathay Pacific Airways,Sep,76582.0,78001.0
Cebu Pacific Air,Apr,13156.0,11624.0
Cebu Pacific Air,Aug,11001.0,9019.0
Cebu Pacific Air,Dec,11023.0,13350.0
Cebu Pacific Air,Feb,12811.0,8819.0
Cebu Pacific Air,Jan,16158.0,13545.0
Cebu Pacific Air,Jul,13921.0,9935.0
Cebu Pacific Air,Jun,10837.0,12105.0
Cebu Pacific Air,Mar,10867.0,9383.0
Cebu Pacific Air,May,12165.0,10027.0
Cebu Pacific Air,Nov,9493.0,9832.0
Cebu Pacific Air,Oct,13064.0,10243.0
Cebu Pacific Air,Sep,9941.0,9531.0
China Airlines,Apr,21928.0,24056.0
China Airlines,Aug,23242.0,25334.0
China Airlines,Dec,22181.0,32961.0
China Airlines,Feb,20258.0,17123.0
China Airlines,Jan,32838.0,25724.0
China Airlines,Jul,27966.0,24868.0
China Airlines,Jun,20315.0,24206.0
China Airlines,Mar,17489.0,20150.0
China Airlines,May,16192.0,17755.0
China Airlines,Nov,19552.0,23187.0
China Airlines,Oct,23745.0,22779.0
