Airline,Month,Passengers_In,Passengers_Out
South African Airways,Sep,6301.0,6654.0
SriLankan Airlines,Apr,7719.0,7043.0
SriLankan Airlines,Aug,8127.0,6899.0
SriLankan Airlines,Dec,7667.0,8701.0
SriLankan Airlines,Feb,7476.0,5457.0
SriLankan Airlines,Jan,8550.0,7431.0
SriLankan Airlines,Jul,8283.0,6476.0
SriLankan Airlines,Jun,7125.0,7438.0
SriLankan Airlines,Mar,7989.0,6227.0
SriLankan Airlines,May,7543.0,5963.0
SriLankan Airlines,Nov,7475.0,7114.0
SriLankan Airlines,Oct,8327.0,6576.0
SriLankan Airlines,Sep,7776.0,7307.0
Tasman Cargo Airlines,Apr,0.0,0.0
Tasman Cargo Airlines,Aug,0.0,0.0
Tasman Cargo Airlines,Dec,0.0,0.0
Tasman Cargo Airlines,Feb,0.0,0.0
Tasman Cargo Airlines,Jan,0.0,0.0
Tasman Cargo Airlines,Jul,0.0,0.0
Tasman Cargo Airlines,Jun,0.0,0.0
Tasman Cargo Airlines,Mar,0.0,0.0
Tasman Cargo Airlines,May,0.0,0.0
Tasman Cargo Airlines,Nov,0.0,0.0
Tasman Cargo Airlines,Oct,0.0,0.0
Tasman Cargo Airlines,Sep,0.0,0.0
Thai AirAsia X,Aug,2952.0,2378.0
Thai AirAsia X,Dec,2932.0,4096.0
Thai AirAsia X,Jul,5233.0,3357.0
Thai AirAsia X,Jun,392.0,686.0
Thai AirAsia X,Nov,2723.0,2780.0
Thai AirAsia X,Oct,3345.0,2581.0
Thai AirAsia X,Sep,2430.0,2564.0
Thai Airways International,Apr,32751.0,34645.0
Thai Airways International,Aug,36781.0,36273.0
Thai Airways International,Dec,35859.0,43757.0
Thai Airways International,Feb,34170.0,30799.0
Thai Airways International,Jan,37513.0,35968.0
Thai Airways International,Jul,39001.0,37145.0
Thai Airways International,Jun,28034.0,37011.0
Thai Airways International,Mar,29489.0,31079.0
Thai Airways International,May,29246.0,33209.0
Thai Airways International,Nov,35357.0,40097.0
Thai Airways International,Oct,38420.0,36259.0
Thai Airways International,Sep,34112.0,35862.0
Tianjin Airlines,Apr,1419.0,1351.0
Tianjin Airlines,Aug,1503.0,1369.0
Tianjin Airlines,Dec,3596.0,5183.0
Tianjin Airlines,Feb,5212.0,4070.0
Tianjin Airlines,Jan,5731.0,3680.0
Tianjin Airlines,Jul,1926.0,1217.0
Tianjin Airlines,Jun,1118.0,1408.0
Tianjin Airlines,Mar,2909.0,2074.0
Tianjin Airlines,May,1352.0,1135.0
Tianjin Airlines,Nov,3032.0,3859.0
Tianjin Airlines,Oct,2034.0,1239.0
Tianjin Airlines,Sep,1551.0,1963.0
United Airlines,Apr,19035.0,21344.0
United Airlines,Aug,18973.0,20698.0
United Airlines,Dec,27205.0,31293.0
United Airlines,Feb,22724.0,19307.0
United Airlines,Jan,28760.0,25435.0
United Airlines,Jul,21442.0,20299.0
United Airlines,Jun,19449.0,20575.0
United Airlines,Mar,21740.0,25574.0
United Airlines,May,20030.0,19763.0
United Airlines,Nov,22971.0,21004.0
United Airlines,Oct,20013.0,16362.0
United Airlines,Sep,18082.0,18999.0
United Parcel Service,Apr,0.0,0.0
United Parcel Service,Aug,0.0,0.0
United Parcel Service,Dec,0.0,0.0
United Parcel Service,Feb,0.0,0.0
United Parcel Service,Jan,0.0,0.0
United Parcel Service,Jul,0.0,0.0
United Parcel Service,Jun,0.0,0.0
United Parcel Service,Mar,0.0,0.0
United Parcel Service,May,0.0,0.0
United Parcel Service,Nov,0.0,0.0
United Parcel Service,Oct,0.0,0.0
United Parcel Service,Sep,0.0,0.0
Vietnam Airlines,Apr,17103.0,17731.0
Vietnam Airlines,Aug,15797.0,14496.0
Vietnam Airlines,Dec,16236.0,18911.0
Vietnam Airlines,Feb,17831.0,14487.0
Vietnam Airlines,Jan,18338.0,18351.0
Vietnam Airlines,Jul,20295.0,18835.0
Vietnam Airlines,Jun,15096.0,17822.0
Vietnam Airlines,Mar,17228.0,15146.0
Vietnam Airlines,May,15309.0,14241.0
Vietnam Airlines,Nov,13996.0,14850.0
Vietnam Airlines,Oct,16588.0,13498.0
Vietnam Airlines,Sep,14769.0,15846.0
Virgin Australia,Apr,123908.0,123984.0
Virgin Australia,Aug,120965.0,126402.0
Virgin Australia,Dec,124346.0,145963.0
Virgin Australia,Feb,101154.0,96358.0
Virgin Australia,Jan,143277.0,119826.0
Virgin Australia,Jul,134444.0,121821.0
Virgin Australia,Jun,104598.0,115004.0
Virgin Australia,Mar,111055.0,108165.0
Virgin Australia,May,108497.0,106356.0
Virgin Australia,Nov,115184.0,116001.0
Virgin Australia,Oct,129605.0,123215.0
Virgin Australia,Sep,114399.0,119805.0
Xiamen Airlines,Apr,9689.0,9692.0
Xiamen Airlines,Aug,10019.0,9099.0
Xiamen Airlines,Dec,9427.0,11512.0
Xiamen Airlines,Feb,10128.0,8240.0
Xiamen Airlines,Jan,10860.0,9869.0
Xiamen Airlines,Jul,9744.0,7816.0
Xiamen Airlines,Jun,8653.0,9072.0
Xiamen Airlines,Mar,8815.0,7548.0
Xiamen Airlines,May,7969.0,8160.0
Xiamen Airlines,Nov,9071.0,9041.0
Xiamen Airlines,Oct,9759.0,8367.0
Xiamen Airlines,Sep,8859.0,9187.0
